run_id,data_profile,datetime,random_seed,model_phase1,model_phase2,temperature,prompt_variant,spec_status,sample_selection,outcome_definition,treatment_definition,model_type,model_specification_line,control_variables,fixed_effects,sample_weighting,se_adjustment,point_est,SE,t_stat,sample_size,execution_status,treated_group_size
run_20260504T214441Z_b55111,expanded,2026-05-04T21:44:41Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | birthyr >= 1982 | yrimmig <= 2007",uhrswork >= 35,(yrimmig - birthyr) <= 15,WLS,"smf.wls(""full_time ~ eligible + eligible:post + C(year) + C(state_fip)"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""state_fip""]})",eligible:post,C(year) | C(state_fip),"df[""perwt""]","cluster; {""groups"": df[""state_fip""]}",0.1937517787450165,0.0115429687112847,16.78526414,174179,success,118852.0
run_20260504T215739Z_33afa3,expanded,2026-05-04T21:57:39Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"year in {2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016} | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 1900 <= yrimmig <= 2007 | age - (year - yrimmig) < 16 | 15 <= age - (year - 2012) <= 35",((uhrswork >= 35).astype(int)),((age - (year - 2012)) <= 30),WLS,"result = smf.wls(""full_time ~ eligible * C(year, Treatment(reference=2011)) + age_2012 + I(age_2012 ** 2) + C(sex) + C(statefip) + lfpr + unemp"", data=analysis_df, weights=analysis_df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': analysis_df['statefip']})",age_2012 | I(age_2012 ** 2) | lfpr | unemp,"eligible * C(year, Treatment(reference=2011)) | C(sex) | C(statefip)",analysis_df['perwt'],cluster; {'groups': analysis_df['statefip']},0.1627012342830424,0.0131143793013644,12.40632367,113871,success,95737.0
run_20260504T221415Z_2e0997,expanded,2026-05-04T22:14:15Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,2006 <= year <= 2016 and year != 2012 | statefip <= 56 | hispan == 1 | bpl == 200 | citizen == 3 | 16 <= age <= 40 | empstat == 1 | 1 <= uhrswork <= 98 | yrimmig > 0 | birthyr > 0,((df['uhrswork'] >= 35) & (df['empstat'] == 1)).astype(float),((df['birthyr'] >= 1982) & ((df['yrimmig'] - df['birthyr']) <= 15) & (df['yrimmig'] <= 2007)).astype(float),WLS,"model = smf.wls(""full_time ~ daca_eligible + eligible_post + C(year) + C(statefip) + age + age_sq + sex_female + DRIVERSLICENSES + INSTATETUITION + STATEFINANCIALAID + HIGHEREDBAN + EVERIFY + LIMITEVERIFY + OMNIBUS + TASK287G + JAIL287G + SECURECOMMUNITIES + LFPR + UNEMP"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",eligible_post | age | age_sq | sex_female | DRIVERSLICENSES | INSTATETUITION | STATEFINANCIALAID | HIGHEREDBAN | EVERIFY | LIMITEVERIFY | OMNIBUS | TASK287G | JAIL287G | SECURECOMMUNITIES | LFPR | UNEMP,C(year) | C(statefip),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",-0.0186065788629463,0.0049794178955801,-3.736697593,226063,success,44636.0
run_20260504T223610Z_a4c22d,expanded,2026-05-04T22:36:10Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"statefip between 1 and 56 | year in 2006-2011 or 2013-2016 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | age between 16 and 40 | yrimmig between 1790 and 2007 | age + 2012 - year between 16 and 35",((uhrswork >= 35).astype(int)),"((hispan == 1) & (bpl == 200) & (citizen.isin([3, 4, 5])) & (yrimmig.between(1790, 2007)) & ((age + 2012 - year).between(16, 30)) & ((age - (year - yrimmig)) < 16))",WLS,"result = smf.wls(""full_time ~ eligible + eligible:post + age + I(age ** 2) + C(year) + C(statefip) + lfpr + unemp"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",eligible:post | age | I(age ** 2) | lfpr | unemp,C(year) | C(statefip),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.0280974709746438,0.0099559425125406,2.822180918,214931,success,77055.0
run_20260504T225217Z_3c3024,expanded,2026-05-04T22:52:17Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 1900 <= yrimmig <= year | 16 <= age - (year - 2012) <= 35 | empstat in {1, 2, 3} | uhrswork < 97 | statefip matches a state/DC row in policy_labor_market_data.csv","(empstat in {1, 2}) and (35 <= uhrswork < 97)",(age - (year - 2012) <= 30) and ((age - (year - yrimmig)) < 16) and (1900 <= yrimmig <= 2007),WLS,"result = smf.wls(""full_time ~ eligible + eligible:post + C(age_2012) + C(sex) + C(year) + C(statefip) + lfpr + unemp"", data=model_df, weights=model_df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": model_df[""statefip""]})",eligible:post | lfpr | unemp,C(age_2012) | C(sex) | C(year) | C(statefip),"model_df[""perwt""]","cluster; {""groups"": model_df[""statefip""]}",0.1798486381236865,0.0042424508420248,42.39262747,235741,success,84747.0
run_20260504T231845Z_a1ad89,expanded,2026-05-04T23:18:45Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen in (3, 4, 5) | 1972 <= birthyr <= 1996 | 16 <= age <= 40 | 0 < yrimmig <= 2007 | yrimmig - birthyr <= 15 | perwt > 0",(empstat == 1) & (uhrswork >= 35),(birthyr >= 1982) & (yrimmig <= 2007) & ((yrimmig - birthyr) <= 15),WLS,"model = smf.wls(""full_time ~ daca_eligible * post + age + I(age ** 2) + year + I(year ** 2) + C(sex) + C(statefip) + unemp + lfpr"", data=sample, weights=sample[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": sample[""statefip""]})",age | I(age ** 2) | year | I(year ** 2) | unemp | lfpr,C(sex) | C(statefip),"sample[""perwt""]","cluster; {""groups"": sample[""statefip""]}",-0.0536610269152618,0.0088117322560344,-6.08972508,106035,success,75919.0
run_20260504T233358Z_59dbca,expanded,2026-05-04T23:33:58Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | statefip between 1 and 56 | hispan == 1 | bpl == 200 | citizen in (3, 4, 5) | 16 <= age <= 40 | 1972 <= birthyr <= 1996 | 1 <= yrimmig <= 2007 | yrimmig - birthyr <= 15 | perwt > 0",((empstat == 1) & (uhrswork >= 35)).astype(int),(birthyr >= 1982).astype(int),WLS,"model = smf.wls(""full_time ~ daca_eligible * post + age + I(age ** 2) + year + I(year ** 2) + C(sex) + C(statefip) + unemp + lfpr"", data=merged, weights=merged[""perwt""] / 100.0).fit(cov_type=""cluster"", cov_kwds={""groups"": merged[""statefip""]})",age | I(age ** 2) | year | I(year ** 2) | unemp | lfpr,C(sex) | C(statefip),"merged[""perwt""] / 100.0","cluster; {""groups"": merged[""statefip""]}",-0.0521049255692534,0.0083466922663996,-6.242583757,107625,success,77055.0
run_20260504T235725Z_e0ac3b,expanded,2026-05-04T23:57:25Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | statefip between 1 and 56 | hispan == 1 | bpl == 200 | citizen in (3, 4, 5) | 16 <= age <= 40 | 1972 <= birthyr <= 1996 | 1 <= yrimmig <= 2007 | yrimmig - birthyr <= 15 | perwt > 0",((empstat == 1) & (uhrswork >= 35)).astype(int),(birthyr >= 1982).astype(int),WLS,"model = smf.wls(""full_time ~ daca_eligible * post + age + I(age ** 2) + year + I(year ** 2) + C(sex) + C(statefip) + UNEMP + LFPR"", data=df, weights=df[""perwt""] / 100.0).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",age | I(age ** 2) | year | I(year ** 2) | UNEMP | LFPR,C(sex) | C(statefip),"df[""perwt""] / 100.0","cluster; {""groups"": df[""statefip""]}",-0.0511084370521372,0.0082461023399078,-6.197890221,107625,success,77055.0
run_20260505T001911Z_d86f39,expanded,2026-05-05T00:19:11Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,year >= 2013 | year <= 2016 | hispan == 1 | bpl == 200 | citizen == 3 | age >= 18 | age <= 45 | birthyr > 0 | yrimmig > 0 | age_at_arrival >= 0 | age_at_arrival <= 15,uhrswork >= 35,((birthyr >= 1982) & (yrimmig <= 2007) & (age_at_arrival <= 15)),WLS,"model = smf.wls(""full_time ~ daca_eligible + age + I(age ** 2) + sex_female + C(statefip) + C(year) + driverslicenses + instatetuition + statefinancialaid + higheredban + C(everify) + limiteverify + omnibus + C(jail287g) + lfpr + unemp"", data=sample, weights=sample[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": sample[""statefip""]})",age | I(age ** 2) | sex_female | driverslicenses | instatetuition | statefinancialaid | higheredban | limiteverify | omnibus | lfpr | unemp,C(statefip) | C(year) | C(everify) | C(jail287g),"sample[""perwt""]","cluster; {""groups"": sample[""statefip""]}",0.0628893644695199,0.0101139168453725,6.218101793,45877,success,31935.0
run_20260505T004136Z_e9a11c,expanded,2026-05-05T00:41:36Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2013 <= year <= 2016 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 16 <= age <= 35 | perwt > 0 | birthyr is observed | yrimmig is observed",int(empstat == 1 and uhrswork >= 35),int(birthyr >= 1982 and yrimmig <= 2007 and (age - (year - yrimmig)) < 16),WLS,"model = smf.wls(""full_time ~ eligible + C(year) + C(statefip)"", data=df, weights=df[""perwt""]).fit(cov_type=""HC1"")",,C(year) | C(statefip),"df[""perwt""]",HC1,-0.0854984087198829,0.0042167155528255,-20.27606739,86821,success,36075.0
run_20260505T005104Z_15ea95,expanded,2026-05-05T00:51:04Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2013 <= year <= 2016 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 16 <= age <= 35 | perwt > 0 | birthyr is observed | yrimmig is observed",int(empstat == 1 and uhrswork >= 35),int(birthyr >= 1982 and yrimmig <= 2007 and (age - (year - yrimmig)) < 16),WLS,"model = smf.wls(""full_time ~ eligible + C(year) + C(statefip)"", data=df, weights=df[""perwt""]).fit(cov_type=""HC1"")",,C(year) | C(statefip),"df[""perwt""]",HC1,-0.0854984087198829,0.0042167155528255,-20.27606739,86821,success,36075.0
run_20260505T010535Z_99d5b0,expanded,2026-05-05T01:05:35Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen == 3 | 15 <= age <= 40 | birthyr > 0 | yrimmig > 0,((empstat == 1) & (uhrswork >= 35)).astype(int),((1982 <= birthyr <= 1996) & (yrimmig <= 2007) & ((yrimmig - birthyr) < 16)).astype(int),WLS,"result = smf.wls(""full_time ~ eligible + eligible:post + age + I(age ** 2) + C(sex) + C(year) + C(statefip) + driverslicenses + instatetuition + statefinancialaid + higheredban + everify + limiteverify + omnibus + task287g + jail287g + securecommunities + lfpr + unemp"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",eligible:post | age | I(age ** 2) | driverslicenses | instatetuition | statefinancialaid | higheredban | everify | limiteverify | omnibus | task287g | jail287g | securecommunities | lfpr | unemp,C(sex) | C(year) | C(statefip),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.0388536564459578,0.0063479786446906,6.120634397,361444,success,81146.0
run_20260505T012647Z_1bbfd2,expanded,2026-05-05T01:26:47Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,2006 <= year <= 2016 | year != 2012 | hispan == 1 | bpl == 200 | citizen == 3 | 1 <= yrimmig <= 2007 | age - (year - yrimmig) < 16 | 18 <= age <= 45 | 15 <= age - (year - 2012) <= 40,((empstat == 1) & (uhrswork >= 35)).astype(int),((age - (year - 2012)) <= 30).astype(int),WLS,"result = smf.wls(""full_time ~ eligible * C(year, Treatment(reference=2011)) + age + I(age ** 2) + C(statefip)"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",age | I(age ** 2),"eligible * C(year, Treatment(reference=2011)) | C(statefip)","df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.01092788132949,0.0102470199985398,1.066444813,101471,success,68822.0
run_20260505T014553Z_87dc0a,expanded,2026-05-05T01:45:53Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 15 <= age <= 40 | 1976 <= birthyr <= 1996 | yrimmig <= 2007",((empstat == 1) & (uhrswork >= 35)).astype(int),((birthyr >= 1982) & (birthyr <= 1996) & (yrimmig <= 2007) & ((age - (year - yrimmig)) <= 15)).astype(int),WLS,"model = smf.wls(""full_time_rate ~ treated * post + C(age) + C(statefip) + C(year) + DRIVERSLICENSES + INSTATETUITION + STATEFINANCIALAID + HIGHEREDBAN + EVERIFY + LIMITEVERIFY + OMNIBUS + TASK287G + JAIL287G + SECURECOMMUNITIES + LFPR + UNEMP"", data=cell_df, weights=cell_df[""popwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": cell_df[""statefip""]})",DRIVERSLICENSES | INSTATETUITION | STATEFINANCIALAID | HIGHEREDBAN | EVERIFY | LIMITEVERIFY | OMNIBUS | TASK287G | JAIL287G | SECURECOMMUNITIES | LFPR | UNEMP,C(age) | C(statefip) | C(year),"cell_df[""popwt""]","cluster; {""groups"": cell_df[""statefip""]}",0.0338462190208338,0.0074937311519819,4.51660439,237034,success,81146.0
run_20260505T020415Z_766344,expanded,2026-05-05T02:04:15Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 16 <= age <= 40 | 1972 <= birthyr <= 1997 | 0 < yrimmig <= 2007 | 0 <= yrimmig - birthyr <= 15 | 0 <= uhrswork <= 98 | perwt > 0",((df['uhrswork'] >= 35).astype(int)),((df['birthyr'] >= 1982) & (df['yrimmig'] <= 2007) & ((df['yrimmig'] - df['birthyr']) <= 15)).astype(int),WLS,"smf.wls(""full_time ~ daca_eligible * post + age + I(age ** 2) + C(sex) + C(year) + C(statefip) + driverslicenses + instatetuition + statefinancialaid + higheredban + C(everify) + limiteverify + omnibus + C(task287g) + C(jail287g) + securecommunities + lfpr + unemp"", data=sample, weights=sample[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": sample[""statefip""]})",age | I(age ** 2) | driverslicenses | instatetuition | statefinancialaid | higheredban | limiteverify | omnibus | securecommunities | lfpr | unemp,C(sex) | C(year) | C(statefip) | C(everify) | C(task287g) | C(jail287g),"sample[""perwt""]","cluster; {""groups"": sample[""statefip""]}",-0.0729019850793695,0.0056031727486552,-13.01084017,107888,success,77791.0
run_20260505T022409Z_ae97b4,expanded,2026-05-05T02:24:09Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen == 3 | 18 <= age <= 40 | 1977 <= birthyr <= 1997 | 0 <= yrimmig - birthyr < 16 | yrimmig <= 2007 | empstat in {1, 2, 3} | perwt > 0",((df['empstat'] == 1) & (df['uhrswork'] >= 35)).astype(int),((df['birthyr'] >= 1982) & (df['yrimmig'] <= 2007) & ((df['yrimmig'] - df['birthyr']) < 16)).astype(int),WLS,"model = smf.wls(""full_time ~ daca_eligible:post_daca + C(year) + C(statefip) + age + I(age ** 2) + C(sex)"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",age | I(age ** 2),C(year) | C(statefip) | C(sex),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",-0.063623999400127,0.0103575157255335,-6.142785692,85751,success,67884.0
run_20260505T024641Z_6df1d2,expanded,2026-05-05T02:46:41Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 15 <= age <= 35 | yrimmig > 0",(uhrswork >= 35).astype(int),(((birthyr > 1981) | ((birthyr == 1981) & (birthqtr >= 3))) & (yrimmig <= 2007) & ((yrimmig - birthyr) <= 15)).astype(int),WLS,"result = smf.wls(""full_time ~ eligible + eligible:post_daca + C(year) + C(statefip) + C(sex) + age + I(age ** 2) + DRIVERSLICENSES + INSTATETUITION + STATEFINANCIALAID + HIGHEREDBAN + EVERIFY + LIMITEVERIFY + OMNIBUS + TASK287G + JAIL287G + SECURECOMMUNITIES + LFPR + UNEMP"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",eligible:post_daca | age | I(age ** 2) | DRIVERSLICENSES | INSTATETUITION | STATEFINANCIALAID | HIGHEREDBAN | EVERIFY | LIMITEVERIFY | OMNIBUS | TASK287G | JAIL287G | SECURECOMMUNITIES | LFPR | UNEMP,C(year) | C(statefip) | C(sex),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.0110109615007725,0.0052158697587354,2.111049932,299359,success,99009.0
run_20260505T030308Z_aad389,expanded,2026-05-05T03:03:08Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 and bpl == 200 | citizen in {3, 5} | 18 <= age <= 40 | 1977 <= birthyr <= 1990 | yrimmig <= 2007 and 0 <= (yrimmig - birthyr) <= 15",((empstat == 1) & (uhrswork >= 35)).astype(float),(birthyr >= 1982),WLS,"model = smf.wls(""full_time ~ eligible * post + birthyr_centered + I(birthyr_centered ** 2) + sex_female + C(year) + C(statefip)"", data=sample, weights=sample[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": sample[""statefip""]})",birthyr_centered | I(birthyr_centered ** 2) | sex_female,C(year) | C(statefip),"sample[""perwt""]","cluster; {""groups"": sample[""statefip""]}",0.1217489022322395,0.0146224732562483,8.326149763,68245,success,50378.0
run_20260505T032749Z_1963d9,expanded,2026-05-05T03:27:49Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2013 <= year <= 2016 | hispan == 1 and bpl == 200 | 18 <= age <= 35 | citizen in {3, 4, 5} | yrimmig is observed and yrimmig <= year | birthyr and birthqtr are observed | perwt is positive",((empstat == 1) & (wrklstwk == 1) & (uhrswork >= 35)).astype(int),(((birthyr > 1981) | ((birthyr == 1981) & (birthqtr >= 3))) & (yrimmig <= 2007) & ((yrimmig - birthyr) <= 15)).astype(int),WLS,"smf.wls(""full_time ~ daca_eligible + C(year)"", data=df, weights=df[""perwt""])",,C(year),"df[""perwt""]",,-0.000556371865346,0.0007208301376864,-0.7718487841,82264,success,33099.0
run_20260505T034225Z_5b3a39,expanded,2026-05-05T03:42:25Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 | year != 2012 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 15 <= age2012 <= 39",uhrswork >= 35,((age2012 >= 15) & (age2012 <= 30) & (year >= 2013)),WLS,"result = smf.wls(""full_time ~ daca_treated + C(age2012) + C(year) + C(statefip) + lfpr + unemp"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",lfpr | unemp,C(age2012) | C(year) | C(statefip),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.1641183543090363,0.0053760236889221,30.52783317,331076,success,67160.0
run_20260505T035237Z_3344ab,expanded,2026-05-05T03:52:37Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen == 3 | 18 <= age <= 40 | perwt > 0 | 0 <= uhrswork <= 98 | yrimmig > 0 and yrimmig <= 2007 and yrimmig <= year,((empstat == 1) & (uhrswork >= 35)).astype(int),(((birthyr > 1981) | ((birthyr == 1981) & (birthqtr >= 3))) & (yrimmig <= 2007) & ((yrimmig - birthyr) < 16)).astype(int),WLS,"result = smf.wls(""full_time ~ eligible * post + age + I(age ** 2) + C(sex) + C(year) + C(statefip)"", data=df, weights=df[""perwt""]).fit(cov_type=""HC1"")",age | I(age ** 2),C(sex) | C(year) | C(statefip),"df[""perwt""]",HC1,0.0127063796583859,0.0049565598533647,2.563548113,316984,success,71318.0
run_20260505T040434Z_2b769b,expanded,2026-05-05T04:04:34Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2013 <= year <= 2016 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 18 <= age <= 45 | yrimmig > 0 | birthyr > 0",((empstat == 1) & (uhrswork >= 35)).astype(float),((yrimmig <= 2007) & ((yrimmig - birthyr) <= 15) & ((age - (year - 2012)) <= 30)).astype(float),WLS,"model = smf.wls(""full_time ~ daca_eligible + age + age_sq + sex_female + C(year) + C(statefip) + lfpr + unemp"", data=sample, weights=sample[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": sample[""statefip""]})",age | age_sq | sex_female | lfpr | unemp,C(year) | C(statefip),"sample[""perwt""]","cluster; {""groups"": sample[""statefip""]}",0.035794945751007,0.0046925370007119,7.628058286,148848,success,32377.0
run_20260505T042413Z_0ce4ac,expanded,2026-05-05T04:24:13Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 | year != 2012 | 1 <= statefip <= 56 | hispan == 1 | bpl == 200 | citizen in {3, 4, 5} | 16 <= age <= 40 | 1900 <= birthyr <= 2000 | 1900 <= yrimmig <= 2016 | 0 <= uhrswork <= 99 | perwt > 0",((uhrswork >= 35).astype(int)),"((birthyr >= 1982) & (yrimmig <= 2007) & ((yrimmig - birthyr).between(0, 15))).astype(int)",WLS,"result = smf.wls(""full_time ~ eligible:post2012 + C(year) + C(birthyr) + C(statefip) + unemp + lfpr"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",unemp | lfpr,C(year) | C(birthyr) | C(statefip),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.0911322853067285,0.0045369738845834,20.08657921,355188,success,80300.0
run_20260505T044203Z_85af0c,expanded,2026-05-05T04:42:03Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"year >= 2013 | year <= 2016 | hispan == 1 | bpl == 200 | citizen == 3 | birthyr >= 1982 | yrimmig <= 2007 | (yrimmig - birthyr).between(10, 20)","((sample[""empstat""] == 1) & (sample[""uhrswork""] >= 35)).astype(float)","((sample[""yrimmig""] <= 2007) & ((sample[""yrimmig""] - sample[""birthyr""]) <= 15)).astype(float)",WLS,"smf.wls(""full_time ~ daca_eligible + age_at_arrival + age_at_arrival_sq + age + sex_female + C(year) + C(state_fips) + driverslicenses + everify + securecommunities + lfpr + unemp"", data=sample, weights=sample[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": sample[""state_fips""]})",age_at_arrival | age_at_arrival_sq | age | sex_female | driverslicenses | everify | securecommunities | lfpr | unemp,C(year) | C(state_fips),"sample[""perwt""]","cluster; {""groups"": sample[""state_fips""]}",0.0207813561834013,0.0090971486182087,2.2843813,29033,success,12872.0
run_20260505T045901Z_5d5e09,expanded,2026-05-05T04:59:01Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"hispan == 1 | bpl == 200 | citizen == 3 | age >= 18 and age <= 45 | year in [2009, 2010, 2011, 2013, 2014, 2015, 2016] | 0 <= age - (year - yrimmig) < 16 | birthyr >= 1977 and birthyr <= 1986",(df['uhrswork'] >= 35).astype(int),(df['birthyr'] >= 1982).astype(int),OLS,"result = smf.ols('full_time ~ treated * post + C(year) + C(statefip) + age + I(age**2) + C(sex)', data=df).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",age | I(age**2),C(year) | C(statefip) | C(sex),,cluster; {'groups': df['statefip']},0.0354631412231526,0.0113589077413623,3.122055574,29108,success,17318.0
run_20260505T051928Z_cf4a84,expanded,2026-05-05T05:19:28Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,2006 <= year <= 2016 | hispan == 1 | bpl == 200 | citizen == 3 | age >= 16 | age <= 40 | yrimmig >= 1900 | yrimmig <= 2016,((uhrswork >= 35).astype(int)),(((year - age) >= 1982) & (yrimmig <= 2007) & (yrimmig <= (year - age + 15))).astype(int),WLS,"model = smf.wls('full_time ~ eligible + eligible_post + age + I(age ** 2) + C(sex) + C(year) + C(statefip) + lfpr + unemp + everify + limiteverify + omnibus + task287g + jail287g + securecommunities', data=df, weights=df['perwt']).fit(cov_type='cluster', cov_kwds={'groups': df['statefip']})",eligible_post | age | I(age ** 2) | lfpr | unemp | everify | limiteverify | omnibus | task287g | jail287g | securecommunities,C(sex) | C(year) | C(statefip),df['perwt'],cluster; {'groups': df['statefip']},0.0130968543283195,0.0054842828636492,2.388070538,389763,success,90501.0
run_20260505T053452Z_ff2973,expanded,2026-05-05T05:34:52Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"2006 <= year <= 2016 and year != 2012 | hispan == 1 | bpl == 200 | citizen in (3, 5) | birthyr in (1980, 1982, 1983, 1984) | yrimmig > 0 and (yrimmig - birthyr) < 16",int(empstat == 1 and uhrswork is not None and uhrswork >= 35),int(birthyr >= 1982),WLS,"result = smf.wls(""full_time ~ eligible:post + C(birthyr) + C(year) + C(statefip) + lfpr + unemp"", data=df, weights=df[""perwt""]).fit(cov_type=""cluster"", cov_kwds={""groups"": df[""statefip""]})",lfpr | unemp,C(birthyr) | C(year) | C(statefip),"df[""perwt""]","cluster; {""groups"": df[""statefip""]}",0.088155633930863,0.0262916867042198,3.352985106,18066,success,14159.0
run_20260505T054848Z_f6aee7,expanded,2026-05-05T05:48:48Z,,gpt-5.4-mini,gpt-5.4-mini,,,available,"df['year'].between(2013, 2016) | df['hispan'] == 1 | df['bpl'] == 200 | df['citizen'].isin([3, 4, 5]) | df['age'].between(16, 34) | df['yrimmig'] > 0 | df['birthyr'] > 0 | df['yrimmig'] <= 2007 | df['empstat'].notna() | df['uhrswork'].notna()",((df['empstat'] == 1) & (df['uhrswork'] >= 35)).astype(float),((df['birthyr'] >= 1982) & (df['yrimmig'] <= 2007) & ((df['yrimmig'] - df['birthyr']) <= 15)).astype(float),WLS,"model = smf.wls('full_time ~ daca_eligible + age + I(age ** 2) + sex_female + C(year) + C(statefip) + unemp + lfpr', data=sample, weights=sample['perwt']).fit(cov_type='cluster', cov_kwds={'groups': sample['statefip']})",age | I(age ** 2) | sex_female | unemp | lfpr,C(year) | C(statefip),sample['perwt'],cluster; {'groups': sample['statefip']},0.0163595298018142,0.0051250759636957,3.192056063,80043,success,36075.0
